546,"МАЦ","Государственное казенное учреждение города Москвы «Московский авиационный центр»","Остафьево","BK-117  (3)"
238,"Меридиан","Закрытое акционерное общество «Авиакомпания «Меридиан»","Москва (Внуково)","Gulfstream G-IV  (1), Ту-134  (1), G450  (1), Hawker-750  (1)"
541,"Мурманское АП","Общество с ограниченной ответственностью «Мурманское авиационное предприятие»","Мурманск  Петрозаводск(Бесовец)","Ми-8  (5), Ми-8МТВ  (3)"
8,"МЧС России ФГУАП","Федеральное государственное унитарное авиационное предпряитие Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий","Москва (Домодедово)  Раменское  Сочи","Ан-148  (2), Ил-76  (6)"
497,"Нарьян-Марский ОАО","Открытое акционерное общество «Нарьян-Марский объединенный авиаотряд»","Нарьян-Мар","Ан-2  (5), Ми-8  (12), Ми-8МТВ  (3)"
470,"Нижневартовскавиа","Открытое акционерное общество «Нижневартовскавиа»","Нижневартовск","Ми-8  (11), Ми-8МТВ  (17)"
466,"Нордавиа-регион.АЛ","ЗАО «Нордавиа-региональные авиалинии»","Архангельск (Талаги)  Москва (Шереметьево)","B-737  (9)"
244,"Оренбургские АЛ ОАО","Открытое акционерное общество «Оренбургские авиалинии»","Москва (Домодедово)  Оренбург","B-737  (12), B-777  (3), B-737-8GJ  (2), B-737-8Q8  (1)"
542,"ПАНХ АК ООО (Улан-Удэ)","Общество с ограниченной ответственностью «Авиационная компания «ПАНХ»","Улан-Удэ (Мухино)","Cessna 208  (2), L-410  (3), Ан-2  (4)"
69,"ПАНХ НПК ОАО","Открытое акционерное общество научно-производственная компания «ПАНХ»","Краснодар (Пашковский)","BK-117  (1), EC-135  (3), W-3 Sokol  (1), Ка-32  (10), Ми-2  (1), Ми-26  (3), Ми-8  (7), Ми-8МТВ  (5)"
564,"Петрозаводск Аэропорт","Бюджетное учреждение Республики Карелия «Аэропорт «Петрозаводск»","Петрозаводск(Бесовец)","Ми-8  (3)"
562,"Победа","Общество с ограниченной ответственностью «Авиакомпания «Победа»","Москва (Внуково)","B-737  (11)"
538,"Полярные авиалинии ОАО","Открытое акционерное общество « Авиакомпания «Полярные Авиалинии»","Батагай  Зырянка  Маган  Нюрба  Тикси  Якутск","Diamond DA-40  (2), L-410  (4), Ан-2  (6), Ан-24  (5), Ан-26  (4), Ан-3  (5), Ми-8  (12), Ми-8МТВ  (4), PC-6/B2-H4  (1)"
465,"Псковавиа","Открытое акционерное общество «Псковавиа»","Псков","Ан-24  (5), Ан-26  (2)"
57,"Ред Вингс АО","Акционерное общество «Ред Вингс»","Москва (Внуково)  Москва (Домодедово)","RRJ-95  (3), Ту-204  (8)"
547,"РКП «АК «Тува Авиа»","Республиканское казенное предприятие «Авиакомпания «Тувинские авиационные линии»","Кызыл","Ан-2  (1), Ми-8  (1)"
2,"Россия Авиакомпания ОАО","Открытое акционерное общество «Авиакомпания «Россия»","Санкт-Петербург (Пулково)","A-319  (16), A-320  (11), B-767  (3)"
530,"Россия СЛО","Федеральное государственное бюджетное учреждение «Специальный летный отряд «Россия» Управления делами Президента Российской Федерации","Москва (Внуково)",
514,"Роствертол-Авиа, ЗАО","Закрытое акционерное общество «Авиакомпания «Роствертол-Авиа»","Ростов-на-Дону","Ми-2  (1), Ми-26  (1)"
198,"РОЯЛ ФЛАЙТ","Закрытое акционерное общество «Авиакомпания «РОЯЛ ФЛАЙТ»","Абакан  Москва (Шереметьево)","B-757  (5), B737-808  (1)"
498,"РусДжет","Открытое акционерное общество «Авиакомпания «РусДжет»","Москва (Внуково)","EMB-135  (1), Ту-134  (2), Як-42  (3)"
225,"РусЛайн","Закрытое акционерное общество Авиационная компания «РусЛайн»","Москва (Внуково)  Москва (Домодедово)","CL-600-2B19  (15), EMB-120  (2)"
