Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Усть-Мая;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Нера;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Хайрюзово;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Цильма;2018;***;***;***;***;***;***;***;***;***;;;;
Уфа;2018;220 199;197 567;216 207;228 911;289 878;323 439;342 056;344 004;313 823;;;;
"Уфа-ООО ""Транстерминал-Аэро""";2018;0;0;0;0;0;0;0;0;0;;;;
Ухта;2018;***;***;***;***;***;***;***;***;***;;;;
Хабаровск(МВЛ);2018;167;291;301;444;343;211;184;275;135;;;;
"Хабаровск(Новый)-ОАО ""Хабаровский аэропорт""";2018;125 774;118 356;133 574;140 944;149 281;185 680;222 409;226 396;197 443;;;;
"Хабаровск(Новый)-ООО ""Авиатерминал""";2018;17 024;12 610;15 578;16 513;13 876;14 253;19 391;21 045;15 530;;;;
Хандыга;2018;***;***;***;***;***;***;***;***;***;;;;
Ханты-Мансийск;2018;18 368;17 452;20 547;21 517;22 711;24 471;29 909;31 167;25 919;;;;
Харута;2018;***;***;***;***;***;***;***;***;***;;;;
Хатанга;2018;2 119;1 812;0;0;0;0;0;0;0;;;;
Херпучи;2018;***;***;***;***;***;***;***;96;103;;;;
Хонуу(Мома);2018;***;***;***;***;***;***;***;***;***;;;;
Хорей-Вер;2018;***;***;***;***;***;***;***;***;***;;;;
Чара;2018;***;***;***;***;***;***;***;***;***;;;;
Чебоксары;2018;***;***;***;***;***;***;***;***;***;;;;
Чегдомын;2018;***;***;***;***;***;***;***;***;***;;;;
Челябинск(Баландино);2018;110 571;96 025;107 748;116 923;139 647;173 873;185 743;183 138;164 658;;;;
Череповец;2018;***;***;***;***;***;***;***;***;***;;;;
Черский;2018;***;***;***;***;***;***;***;***;***;;;;
Чижа;2018;***;***;***;***;***;***;***;***;***;;;;
Чита(Кадала);2018;22 722;21 904;22 978;26 368;28 971;33 977;44 969;48 958;39 366;;;;
Чокурдах;2018;***;***;***;***;***;***;***;***;***;;;;
Чумикан;2018;***;***;***;***;***;***;***;457;487;;;;
Шахтерск;2018;***;***;***;***;***;***;***;779;780;;;;
Шойна;2018;***;***;***;***;***;***;***;***;***;;;;
Шушенское;2018;***;***;***;***;***;***;179;106;19;;;;
Эгвекинот(Залив Креста);2018;***;***;***;***;***;***;***;***;***;;;;
Экимчан;2018;***;***;***;***;***;***;***;58;35;;;;
Элиста;2018;***;***;***;***;***;***;***;***;***;;;;
Южно-Курильск(Менделеево);2018;***;***;***;***;***;***;***;***;***;;;;
Южно-Сахалинск(Хомутово);2018;72 730;66 716;75 306;71 317;79 613;97 417;119 836;125 554;104 482;;;;
Якутск;2018;51 639;49 959;61 877;68 345;68 480;93 922;108 364;113 964;90 958;;;;
