Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Сочи;2 018;137,67;213,77;189,47;164,17;212,19;249,79;208,83;249,39;923,03;;;;
Среднеколымск;2 018;***;***;***;***;***;***;***;***;***;;;;
Ставрополь(Шпаковское);2 018;45;58;63;67;66;61;60;62;59;;;;
Старый Оскол;2 018;***;***;***;***;***;***;***;***;***;;;;
Стрежевой;2 018;***;***;***;***;***;***;2,1;3;6,9;;;;
Сунтар;2 018;***;***;***;***;***;***;***;***;***;;;;
Сургут;2 018;195,68;263,47;280,34;269,95;306,42;287,52;285,29;289,08;280,26;;;;
Сыктывкар;2 018;43,97;42,12;47,6;49,62;52,85;70,88;61,02;54,11;46,91;;;;
Тазовский;2 018;***;***;***;***;***;***;***;***;***;;;;
Таксимо;2 018;***;***;***;***;***;***;***;***;***;;;;
Талакан;2 018;***;***;***;***;***;***;***;***;***;;;;
Тамбов;2 018;0;0;0;0;0;0;0;0;0;;;;
Тарко-Сале;2 018;***;***;***;***;***;***;***;***;***;;;;
Тигиль;2 018;***;***;***;***;***;***;***;***;***;;;;
Тикси;2 018;32,61;26,34;40,63;32,99;35,95;48,44;38,67;34,14;29,2;;;;
Тиличики;2 018;***;***;***;***;***;***;***;***;***;;;;
Тобольск;2 018;***;***;***;***;***;***;***;***;***;;;;
Толька;2 018;***;***;***;***;***;***;***;***;***;;;;
Томск(Богашево);2 018;105,65;130,48;158,86;152,69;138,07;145,77;136,8;152,75;149,11;;;;
Тугур;2 018;***;***;***;***;***;***;***;***;***;;;;
Туруханск;2 018;***;***;***;***;***;***;***;***;***;;;;
Тында;2 018;***;***;***;***;***;***;***;0,04;0,02;;;;
Тюмень(Плеханово);2 018;***;***;***;***;***;***;***;***;***;;;;
Тюмень(Рощино);2 018;229,6;276,7;327;299,7;299,2;281,6;327,3;339,4;323,7;;;;
Удское;2 018;***;***;***;***;***;***;***;***;***;;;;
Улан-Удэ(Мухино);2 018;***;***;***;***;***;***;***;***;***;;;;
Ульяновск(Баратаевка);2 018;***;***;***;***;***;***;***;***;***;;;;
Ульяновск(Восточный);2 018;***;***;***;***;***;***;***;***;***;;;;
Урай;2 018;***;***;***;***;***;***;***;***;***;;;;
Ургалан;2 018;***;***;***;***;***;***;***;***;***;;;;
Уренгой;2 018;***;***;***;***;***;***;***;***;***;;;;
Усинск;2 018;***;***;***;***;***;***;***;***;***;;;;
Усть-Камчатск;2 018;***;***;***;***;***;***;***;***;***;;;;
Усть-Кара;2 018;***;***;***;***;***;***;***;***;***;;;;
Усть-Куйга;2 018;***;***;***;***;***;***;***;***;***;;;;
Усть-Кут;2 018;***;***;***;***;***;***;***;***;***;;;;
Усть-Мая;2 018;***;***;***;***;***;***;***;***;***;;;;
Усть-Нера;2 018;***;***;***;***;***;***;***;***;***;;;;
Усть-Хайрюзово;2 018;***;***;***;***;***;***;***;***;***;;;;
Усть-Цильма;2 018;***;***;***;***;***;***;***;***;***;;;;
Уфа;2 018;25,07;16,76;21,8;19,7;17,01;17,59;16,64;27,62;16,71;;;;
"Уфа-ООО ""Транстерминал-Аэро""";2 018;249,95;232,59;505,7;536,03;359,04;406,68;328,49;420,42;356,49;;;;
Ухта;2 018;***;***;***;***;***;***;***;***;***;;;;
Хабаровск(МВЛ);2 018;1,42;3,35;2,88;3,29;6,03;10,93;4,01;7,3;0,78;;;;
"Хабаровск(Новый)-ОАО ""Хабаровский аэропорт""";2 018;1 413,91;1 986,36;1 957,41;1 879,10;1 687,06;1 678,89;1 585,75;1 805,40;1 984,61;;;;
"Хабаровск(Новый)-ООО ""Авиатерминал""";2 018;0;0;0;0;0;0;0;0;0;;;;
Хандыга;2 018;***;***;***;***;***;***;***;***;***;;;;
Ханты-Мансийск;2 018;26;38,12;45,01;43,91;50,12;35,69;36,27;48,02;49,2;;;;
Харута;2 018;***;***;***;***;***;***;***;***;***;;;;
Хатанга;2 018;119,6;211,79;0;0;0;0;0;0;0;;;;
Херпучи;2 018;***;***;***;***;***;***;***;0,25;0,32;;;;
Хонуу(Мома);2 018;***;***;***;***;***;***;***;***;***;;;;
Хорей-Вер;2 018;***;***;***;***;***;***;***;***;***;;;;
Чара;2 018;***;***;***;***;***;***;***;***;***;;;;
Чебоксары;2 018;***;***;***;***;***;***;***;***;***;;;;
Чегдомын;2 018;***;***;***;***;***;***;***;***;***;;;;
Челябинск(Баландино);2 018;201,43;233,28;249,83;271,05;224,06;221,24;261,6;255,03;237,49;;;;
Череповец;2 018;***;***;***;***;***;***;***;***;***;;;;
Черский;2 018;***;***;***;***;***;***;***;***;***;;;;
Чижа;2 018;***;***;***;***;***;***;***;***;***;;;;
Чита(Кадала);2 018;176,24;182,45;246,71;278,11;251,1;241,39;237,15;273,83;286,09;;;;
Чокурдах;2 018;***;***;***;***;***;***;***;***;***;;;;
Чумикан;2 018;***;***;***;***;***;***;***;3,45;5;;;;
Шахтерск;2 018;***;***;***;***;***;***;***;1,62;0,97;;;;
Шойна;2 018;***;***;***;***;***;***;***;***;***;;;;
Шушенское;2 018;***;***;***;***;***;***;0;0;0;;;;
Эгвекинот(Залив Креста);2 018;***;***;***;***;***;***;***;***;***;;;;
Экимчан;2 018;***;***;***;***;***;***;***;0,2;0,1;;;;
Элиста;2 018;***;***;***;***;***;***;***;***;***;;;;
Южно-Курильск(Менделеево);2 018;***;***;***;***;***;***;***;***;***;;;;
Южно-Сахалинск(Хомутово);2 018;590,83;716,12;727,62;740,51;949,9;1 060,58;1 104,60;863,7;893,41;;;;
Якутск;2 018;507,45;726,99;890,64;848,08;743,5;876,79;770,84;829,77;861,4;;;;
Якутск(Маган);2 018;***;***;***;***;***;***;***;***;***;;;;
Ямбург;2 018;0;0,1;0,01;1,29;0,02;0,2;0,01;0,03;0;;;;
Ярославль(Туношна);2 018;240,67;186,05;320,54;373,23;434,25;134,2;40,18;75,7;128,81;;;;
Ярцево;2 018;***;***;***;***;***;***;***;***;***;;;;
Абакан;2 017;48,36;77,08;95,33;90,28;91,93;57,13;82,59;81,2;76,05;139,67;71,58;88,84;1000,04
Айхал;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Алдан;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Амдерма;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Анадырь;2 017;117,57;241,91;360,26;305,86;161,47;136,82;89,39;109,33;117,55;121,67;89,18;313,33;2164,34
Анапа(Витязево);2 017;40,52;37,88;49,3;49,8;48,08;74,83;76,06;74,43;77,64;61,02;64,11;75,38;729,05
Антипаюта;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Апатиты(Хибины);2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Васьково);2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Талаги);2 017;93,8;159,1;188;218,1;302,5;245,7;119;211,1;127,6;213,41;270,56;359,21;2508,08
Астрахань(Нариманово);2 017;48,55;55,32;70,39;69,11;62,89;62,18;62,38;62,62;67,68;76,72;68,36;95,02;801,22
Ачинск;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Аян;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Багдарин;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Байкит;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Барнаул(Имени Г.С.Титова);2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Батагай;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Белая Гора;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Белгород;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Белоярский;2 017;0;0;4,9;11,1;12,1;5,7;10,4;14,9;7,7;6,6;27,5;13,8;114,7
Белушье;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Березово;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Бийск;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Благовещенск;2 017;212,5;283;346,7;336,1;319,3;298,8;388,5;426,5;384;377,1;344,4;471,4;4188,3
Бованенково;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Богородское;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Богучаны;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Бодайбо;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Братск;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Брянск;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Бугульма;2 017;1,94;2,37;1,91;1,45;1,56;1,97;2,84;2,81;1,59;1,81;1,31;1,6;23,16
Буревестник;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ванавара;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Варандей;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Верхневилюйск;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Вижас;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Вилюйск;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Витим;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Владивосток(Кневичи);2 017;1362,31;1464,1;2109,03;1894,36;1869,82;1898,05;1899,17;2084,67;2085,28;2108,5;2129,72;2412,19;23317,2
Владикавказ(Беслан);2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Владимир;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Волгоград(Гумрак);2 017;53;55;75;64;66;66;67;73;83;83;89;99,2;873,2
Вологда;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Волоковая;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Воркута;2 017;8,02;7,31;7,88;12,11;10,51;6,77;6,63;8,01;7,41;5,86;6,74;7,7;94,95
Воронеж(Чертовицкое);2 017;10,31;5,7;14,51;11,67;14,33;10,37;13,88;12,52;13,01;60,39;16,9;19,05;202,64
Вуктыл;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Геленджик;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
